"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"USP15",8.42374280749899e-10,0.604865744599964,0.924,0.895,3.0831741049727e-05
"ARRDC4",8.42803316771982e-10,1.10666192306372,0.389,0.199,3.08474441971713e-05
"COLGALT2",8.45054571166037e-10,1.17176141859049,0.364,0.183,3.09298423592481e-05
"PRELP",8.47202580837467e-10,0.561368497757221,0.193,0.059,3.10084616612321e-05
"NCOR1",8.47735092795255e-10,0.369288282771524,0.96,0.92,3.10279521313991e-05
"ZNF507",8.49717650653571e-10,0.764661894223336,0.691,0.46,3.11005157315714e-05
"SMURF2",8.52789554901566e-10,0.741543138595837,0.924,0.829,3.12129504989522e-05
"YWHAQ",8.53915201195559e-10,-0.265877408754345,0.942,0.937,3.12541502789586e-05
"TRUB1",8.56079149225578e-10,0.753485014135941,0.669,0.429,3.13333529408054e-05
"EXD2",8.61405163243641e-10,1.32617946900445,0.524,0.301,3.15282903798805e-05
"GNG12",8.61917985828619e-10,0.378943588329927,0.945,0.916,3.15470601993133e-05
"ZNF160",8.6242917488125e-10,0.88474362305722,0.745,0.543,3.15657702298286e-05
"ARPC4",8.62670812404169e-10,-0.439321847350173,0.851,0.912,3.1574614404805e-05
"MAU2",8.6475212295008e-10,0.74881737779946,0.756,0.552,3.16507924520959e-05
"MOB3A",8.65500055032113e-10,0.0956350539673729,0.735,0.555,3.16781675142304e-05
"CRIM1-DT",8.68422524903801e-10,0.823560061305955,0.542,0.345,3.1785132834004e-05
"GTF3C6",8.72792499678342e-10,-0.423526423022675,0.84,0.891,3.1945078280727e-05
"C1orf195",8.74572786867956e-10,3.99977920509889,0.109,0.019,3.2010238572154e-05
"USO1",8.81065123722404e-10,0.361622203321898,0.924,0.883,3.22478645933637e-05
"RAD52",8.96208526729131e-10,1.05676342942115,0.538,0.335,3.28021282868129e-05
"DUSP8",8.97637367101712e-10,1.39269208076179,0.178,0.053,3.28544252732898e-05
"MRPL21",8.98064451240686e-10,-0.46384928593627,0.8,0.894,3.28700569798604e-05
"IQCK",9.06602040645078e-10,0.723350557357186,0.738,0.566,3.31825412896505e-05
"CMTM1",9.15483142187106e-10,1.1854834223349,0.433,0.224,3.35075984871903e-05
"PTPRS",9.20555742787233e-10,-0.761794087472365,0.811,0.848,3.36932607417555e-05
"PACSIN2",9.28079821733557e-10,0.730708267659773,0.909,0.836,3.39686495552699e-05
"LINC01836",9.29869668319732e-10,1.63098135932079,0.135,0.029,3.40341597301705e-05
"PRICKLE1",9.33042204951018e-10,2.06199257197269,0.535,0.348,3.41502777434122e-05
"SOD1",9.41436239589247e-10,-0.363124787110202,0.869,0.932,3.4457507805206e-05
"ATG4C",9.41745209267396e-10,1.05191186735424,0.611,0.394,3.44688164043959e-05
"SNX19",9.42988574554431e-10,0.697816124682282,0.807,0.587,3.45143248172667e-05
"ORC4",9.44280934458989e-10,0.845383113322282,0.829,0.649,3.45616264821334e-05
"EEF1B2",9.47192800969098e-10,-0.354597086089097,0.891,0.963,3.466820370827e-05
"RNF216",9.49537275695077e-10,0.39674689623824,0.924,0.86,3.47540138277155e-05
"B3GAT3",9.53828331686195e-10,-0.664929088253251,0.764,0.791,3.49110707680464e-05
"PDSS2",9.58306266033391e-10,0.735345834792455,0.844,0.712,3.50749676430881e-05
"SESN3",9.59470546244156e-10,1.54631394649118,0.665,0.459,3.51175814630824e-05
"VEZT",9.60058346402763e-10,0.976267226041081,0.884,0.767,3.51390955366875e-05
"DIP2C",9.67728864547903e-10,0.768138451023299,0.902,0.764,3.54198441713178e-05
"JCAD",9.72088666906767e-10,1.40235114747381,0.553,0.326,3.55794172974546e-05
"PIGZ",9.85012842210231e-10,0.992890846819525,0.556,0.339,3.60524550377367e-05
"NAP1L4",9.90772802710136e-10,0.324731973323191,0.916,0.866,3.62632753519937e-05
"DLG5",9.93348225929254e-10,0.720658669811615,0.775,0.591,3.63575384172366e-05
"RHBDD1",9.94557267685937e-10,0.636959461185701,0.796,0.617,3.6401790554573e-05
"LINC00106",1.00059970131424e-09,0.469695032978048,0.298,0.133,3.66229496678026e-05
"A1BG",1.00602829402427e-09,-0.636619917196892,0.658,0.78,3.68216415895823e-05
"MAGEH1",1.00661145999071e-09,-0.903820771951713,0.633,0.714,3.684298604712e-05
"TNFRSF12A",1.02017186908935e-09,-0.62148212998154,0.804,0.9,3.73393105805394e-05
"AC087500.1",1.02683531922955e-09,0.765835415545991,0.469,0.261,3.75831995191209e-05
"PALM",1.02993907348769e-09,0.964085608769672,0.564,0.355,3.7696800028723e-05
"HSPB1",1.0478072517899e-09,-0.36665986759034,0.905,0.947,3.83507932227621e-05
"KAT6A",1.05944465014618e-09,0.734624928990359,0.88,0.726,3.87767336400005e-05
"ACADVL",1.05981068220539e-09,-0.363428394975711,0.905,0.904,3.87901307793994e-05
"NCK1-DT",1.06569494975444e-09,1.35886298603725,0.36,0.171,3.90055008559623e-05
"NLRP1",1.07413241391534e-09,1.23474910366273,0.684,0.521,3.93143204817153e-05
"MRTFB",1.07428440571071e-09,1.13393461904203,0.829,0.655,3.93198835334176e-05
"AC244153.1",1.09122951317138e-09,1.34232754676134,0.316,0.146,3.99400914115858e-05
"EPB41L1",1.10209820789943e-09,1.52623065226526,0.615,0.391,4.03378965073272e-05
"PARP14",1.10221667579815e-09,0.610237750977933,0.858,0.714,4.03422325508882e-05
"ZNF250",1.10358310441338e-09,1.2297785014554,0.385,0.199,4.03922452046342e-05
"TPT1",1.10399106505062e-09,0.175647272871239,0.978,0.982,4.04071769719177e-05
"TRPM4",1.10886946346685e-09,0.909925393710633,0.582,0.373,4.05857312323503e-05
"AL592183.1",1.11460782233823e-09,0.501410659377019,0.658,0.434,4.07957609054016e-05
"MRPS34",1.11769785247319e-09,-0.435611064423749,0.8,0.888,4.09088590983713e-05
"ASPA",1.12262405141288e-09,1.64366622920099,0.247,0.096,4.1089162905763e-05
"MPRIP-AS1",1.14103977907253e-09,1.51950186628962,0.153,0.038,4.17631969538335e-05
"PRKX",1.14200757203133e-09,0.764291743545234,0.658,0.416,4.17986191439186e-05
"SELENOO",1.14835277777118e-09,0.413796791068931,0.724,0.51,4.20308600192031e-05
"POLE2",1.15168651404744e-09,1.09238955175569,0.389,0.193,4.21528781006505e-05
"TMEM182",1.16615094106686e-09,1.82635737887903,0.276,0.117,4.26822905939882e-05
"TNFRSF19",1.16658714289721e-09,1.08654738267056,0.284,0.124,4.26982560171809e-05
