"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RNF135",1.56007749226263e-08,2.01064604109882,0.579,0.17,0.000571003962943044
"DOCK7",1.56401514926208e-08,1.55175934284241,0.737,0.298,0.000572445184781414
"PLEKHB2",1.56581808375033e-08,1.78357825507883,0.684,0.266,0.000573105076833457
"SCARB1",1.57780755912039e-08,2.06898170839807,0.711,0.282,0.000577493344713654
"RPS3A",1.58093521807756e-08,-1.35285194646555,0.842,0.915,0.000578638099168569
"WDR44",1.58221326472569e-08,2.67211621615605,0.632,0.213,0.000579105877022251
"RPL15",1.58226608818528e-08,-1.28887738849215,0.868,0.894,0.000579125210936694
"ASXL2",1.58377791668412e-08,2.01966271572808,0.632,0.229,0.000579678555285555
"CUL1",1.59863956425741e-08,1.16630450074019,0.684,0.282,0.000585118066913856
"PATL1",1.5996825908984e-08,1.96902143485305,0.579,0.191,0.000585499825094725
"MFSD14C",1.62117636627863e-08,1.37447286558129,0.658,0.239,0.00059336676182164
"FBXW11",1.62897042565059e-08,1.51537996654691,0.737,0.319,0.000596219465492372
"KLHL24",1.63511711764374e-08,1.81693145476856,0.658,0.245,0.000598469216228786
"CPSF7",1.64393534497434e-08,2.3744140513436,0.5,0.128,0.000601696775614058
"RPS16",1.6592102848667e-08,-1.19819857252832,0.737,0.92,0.000607287556364061
"NPL",1.66625058068601e-08,2.3493601996709,0.632,0.239,0.000609864375036888
"UBXN2B",1.67998101623914e-08,1.72372164228226,0.553,0.176,0.000614889851753687
"SAA1",1.69322469064878e-08,-2.58004760272916,0.947,0.952,0.00061973716902436
"ARRB2",1.69918615168501e-08,1.54208803365497,0.632,0.197,0.00062191912337823
"RETREG3",1.70822952704347e-08,1.7657832414518,0.658,0.229,0.000625229089193179
"KDM2A",1.71786306546125e-08,1.85954001993944,0.763,0.367,0.000628755060589472
"PAN3",1.71927375709127e-08,1.94653181200533,0.737,0.319,0.000629271387832975
"RPS29",1.72806616701501e-08,-1.22615581496785,0.921,0.904,0.000632489497789165
"ST3GAL6",1.75845279527246e-08,1.90814677762824,0.684,0.245,0.000643611307597671
"MANBA",1.77531421779706e-08,1.84319600967753,0.658,0.25,0.000649782756855901
"P2RY8",1.77537990143338e-08,2.64412869003479,0.368,0.059,0.000649806797723632
"ZNF627",1.77695489657152e-08,2.31794740366668,0.447,0.101,0.000650383261694142
