"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Direction"
"PSMC5",9.40546686655517e-15,0.514509605962241,0.904,0.815,3.44249492782786e-10,"Up_in_3D"
"TANGO6",9.66874089729607e-15,-1.1165403652861,0.6,0.796,3.53885585581933e-10,"Up_in_2D"
"SLC25A16",9.76726967203534e-15,-1.11885166373657,0.618,0.822,3.57491837266165e-10,"Up_in_2D"
"ULK2",9.88622791663347e-15,-0.984227356845438,0.463,0.724,3.61845827976702e-10,"Up_in_2D"
"AL139260.1",9.90712295626829e-15,-1.7709046574643,0.506,0.716,3.62610607322376e-10,"Up_in_2D"
"FHL1",9.9824823859257e-15,-1.58214077411928,0.482,0.68,3.65368837807266e-10,"Up_in_2D"
"ZNF680",1.02889401634218e-14,-1.46831298908123,0.401,0.64,3.76585498921401e-10,"Up_in_2D"
"PTGDR",1.07799922696226e-14,1.69016446599214,0.351,0.109,3.94558497060458e-10,"Up_in_3D"
"PYCR1",1.08037388852277e-14,0.776751361277315,0.836,0.731,3.9542764693822e-10,"Up_in_3D"
"CD200",1.0971191823024e-14,-1.72742446890316,0.124,0.338,4.015565919145e-10,"Up_in_2D"
"CLCN5",1.11340441352319e-14,-0.870505912800537,0.465,0.687,4.07517149393622e-10,"Up_in_2D"
"REL",1.11662171915098e-14,1.58816943521274,0.704,0.615,4.08694715426449e-10,"Up_in_3D"
"CPT1A",1.14594294871789e-14,-0.879012648162953,0.761,0.865,4.19426578660235e-10,"Up_in_2D"
"ABR",1.1471511016928e-14,-0.506834838342183,0.525,0.793,4.19868774730581e-10,"Up_in_2D"
"DPP10",1.18982354391666e-14,-3.54906405705079,0.031,0.171,4.35487315308935e-10,"Up_in_2D"
"ZER1",1.24204815831873e-14,-1.08123317942251,0.501,0.738,4.54602046426237e-10,"Up_in_2D"
"BTRC",1.26902643045634e-14,-0.909876778830926,0.749,0.887,4.64476363811325e-10,"Up_in_2D"
"ARHGAP5",1.29596255665143e-14,-0.620914403220598,0.875,0.935,4.74335255359991e-10,"Up_in_2D"
"MT1M",1.31431791778837e-14,1.71923821765449,0.559,0.309,4.8105350108972e-10,"Up_in_3D"
"PRKAR2A",1.3723707791073e-14,-0.655875842332563,0.814,0.92,5.02301428861063e-10,"Up_in_2D"
"MXD4",1.38050868134326e-14,0.604698834787539,0.907,0.88,5.05279982458447e-10,"Up_in_3D"
"NSA2",1.39145047941741e-14,0.469203825782973,0.934,0.873,5.09284789971565e-10,"Up_in_3D"
"PDE1A",1.40640711066321e-14,-2.09329595835815,0.24,0.476,5.1475906657384e-10,"Up_in_2D"
"ILRUN",1.45502079023267e-14,-1.01160454624734,0.732,0.887,5.32552159433061e-10,"Up_in_2D"
"TOB2",1.51827391971596e-14,-0.894264721697528,0.527,0.771,5.55703437355238e-10,"Up_in_2D"
"STARD9",1.58851663799991e-14,-0.843354129580102,0.265,0.538,5.81412974674347e-10,"Up_in_2D"
"LARP1",1.6259640037983e-14,-0.439238181525497,0.876,0.913,5.95119085030215e-10,"Up_in_2D"
"BLCAP",1.6365155247098e-14,-0.645200876337165,0.673,0.847,5.98981047199033e-10,"Up_in_2D"
"DNAJC5",1.65176131101986e-14,-0.705736227502414,0.624,0.833,6.0456115744638e-10,"Up_in_2D"
"ZNF429",1.73614084361423e-14,-1.36980313618941,0.28,0.542,6.35444910171244e-10,"Up_in_2D"
"CSNK2B",1.75176551378429e-14,0.516580922974524,0.891,0.829,6.41163695700187e-10,"Up_in_3D"
"AC108519.1",1.75585735361974e-14,-1.59859241190704,0.105,0.309,6.42661349998362e-10,"Up_in_2D"
"AKR1C3",1.78993718523734e-14,1.23670818755208,0.749,0.611,6.55134909168719e-10,"Up_in_3D"
"PTMA",1.82062355106726e-14,0.459556637548064,0.966,0.935,6.66366425926126e-10,"Up_in_3D"
"LIMD1",1.82528361452379e-14,-0.850436573295533,0.429,0.695,6.68072055751852e-10,"Up_in_2D"
"MFSD14C",1.83702777184233e-14,-0.784542734837323,0.745,0.873,6.7237053477201e-10,"Up_in_2D"
"EIF2B3",1.89481821339897e-14,-0.85872720449189,0.748,0.855,6.93522414286156e-10,"Up_in_2D"
"SYNPO2",1.90401009059687e-14,-1.27816633614427,0.422,0.673,6.96886733259362e-10,"Up_in_2D"
"GRK5",1.92197588756313e-14,-1.04254879727031,0.724,0.873,7.0346239460698e-10,"Up_in_2D"
"FBXW4",1.93274342000949e-14,-1.12192332886242,0.547,0.767,7.07403419157672e-10,"Up_in_2D"
"TIMM13",1.96464901051379e-14,0.452761632725559,0.914,0.851,7.19081184338153e-10,"Up_in_3D"
"FAM185A",1.9652112342703e-14,-1.19818430020345,0.26,0.505,7.19286963855274e-10,"Up_in_2D"
"AC108067.1",1.97004129342161e-14,2.46410795317355,0.305,0.08,7.21054813805243e-10,"Up_in_3D"
"MIB1",2.00525485299259e-14,-0.807999728542999,0.748,0.898,7.33943328743819e-10,"Up_in_2D"
"TBC1D9",2.10570163317091e-14,-1.05046076156111,0.56,0.775,7.70707854756886e-10,"Up_in_2D"
"ANXA8L1",2.10744250444601e-14,-1.60658689069798,0.058,0.225,7.71345031052283e-10,"Up_in_2D"
